,Курс,Регион,Муниципалитет,Школа,user_id,Класс,Всего просмотров уроков,Из них онлайн,Из них в записи,Решал задач,Всего задач,Набрал баллов,Всего баллов
5035,755,Томская область,Колпашевский р-н,SCHOOL-7E6F-2B46-8BE1,674709,7 класс,12,0,12,40,216,36.0,224
5036,755,Томская область,Колпашевский р-н,SCHOOL-7E6F-2B46-8BE1,674710,7 класс,0,0,0,0,216,0.0,224
5037,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674711,7 класс,52,0,52,116,216,97.32,224
5038,755,Томская область,г Томск,SCHOOL-C59C-9741-463E,674712,7 класс,44,0,44,20,216,11.72,224
5039,755,Томская область,г Томск,SCHOOL-E3FF-7FDF-8C65,674713,7 класс,0,0,0,0,216,0.0,224
5040,755,Томская область,г Томск,SCHOOL-27C5-4BAE-13C0,674714,7 класс,0,0,0,0,216,0.0,224
5041,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674715,7 класс,52,0,52,136,216,121.32,224
5042,755,Томская область,г Томск,SCHOOL-C59C-9741-463E,674716,7 класс,56,0,56,20,216,16.52,224
5043,755,Томская область,Колпашевский р-н,SCHOOL-7E6F-2B46-8BE1,674717,7 класс,32,0,32,44,216,30.68,224
5044,755,Томская область,г Томск,SCHOOL-27C5-4BAE-13C0,674724,7 класс,0,0,0,0,216,0.0,224
5045,755,Томская область,г Томск,SCHOOL-9510-EF07-035B,674725,7 класс,0,0,0,0,216,0.0,224
5046,755,Томская область,Каргасокский р-н,SCHOOL-C915-4377-EC99,674726,7 класс,32,0,32,36,216,19.32,224
5047,755,Томская область,Каргасокский р-н,SCHOOL-C915-4377-EC99,674727,7 класс,0,0,0,60,216,37.72,224
5048,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674728,7 класс,48,0,48,60,216,52.0,224
5049,755,Томская область,г Стрежевой,SCHOOL-DD24-D819-BF96,674729,7 класс,0,0,0,0,216,0.0,224
5050,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674731,7 класс,20,0,20,20,216,16.0,224
5051,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674733,7 класс,28,0,28,100,216,98.4,224
5052,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674734,7 класс,0,0,0,0,216,0.0,224
5053,755,Томская область,Томский р-н,SCHOOL-3F10-BEAC-9EBE,674735,7 класс,0,0,0,0,216,0.0,224
5054,755,Томская область,г Стрежевой,SCHOOL-E784-829E-8461,674736,7 класс,0,0,0,0,216,0.0,224
5055,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674737,7 класс,52,0,52,80,216,68.0,224
5056,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,674738,7 класс,44,0,44,68,216,52.0,224
5057,755,Томская область,г Томск,SCHOOL-643F-2CE7-74F6,674739,7 класс,148,0,148,216,216,48.8,224
5058,755,Томская область,Кожевниковский р-н,SCHOOL-96DD-7099-56B1,674740,7 класс,0,0,0,0,216,0.0,224
5059,755,Томская область,г Томск,SCHOOL-50E2-25E0-FFCF,674741,7 класс,28,0,28,60,216,48.0,224
5060,755,Томская область,г Томск,SCHOOL-E3FF-7FDF-8C65,674743,7 класс,0,0,0,0,216,0.0,224
5061,755,Томская область,г Томск,SCHOOL-D0B5-FAAC-8F94,674744,7 класс,0,0,0,0,216,0.0,224
5062,755,Томская область,г Стрежевой,SCHOOL-DD24-D819-BF96,674745,7 класс,84,0,84,136,216,104.0,224
5063,755,Томская область,г Томск,SCHOOL-2419-6F4B-F19B,674747,7 класс,76,0,76,216,216,176.52,224
5064,755,Томская область,Колпашевский р-н,SCHOOL-7E6F-2B46-8BE1,674749,7 класс,0,0,0,0,216,0.0,224
5065,755,Томская область,г Томск,SCHOOL-2419-6F4B-F19B,674750,7 класс,28,0,28,52,216,29.72,224
5066,755,Томская область,г Томск,SCHOOL-EC24-C3EA-3455,674751,7 класс,0,0,0,0,216,0.0,224
5067,755,Томская область,г Томск,SCHOOL-2419-6F4B-F19B,674752,7 класс,0,0,0,0,216,0.0,224
5068,755,Томская область,Томский р-н,SCHOOL-976B-5C2C-3C5C,674753,7 класс,248,0,248,188,216,172.0,224
5069,755,Томская область,г Томск,SCHOOL-2419-6F4B-F19B,674754,7 класс,124,0,124,196,216,81.96,224
